ID,NUMBER_OF_VICTIMS,DATE,TIME,HOUR,DATE_TIME,SUNSET,TEMPERATURE,PRECIPITATION,CLOUD_COVER,PLACE_OF_EVENT,TYPE_OF_STREET,STREET,HEIGHT,CROSSING,NORMALIZED_ADDRESS,COMMUNE,POS_X,POS_Y,PARTICIPANTS,VICTIM,ACCUSED,Incident_ID,Date,Year,Month,Day,Role,Victim,Gender,Age,Date_of_Death
2016-0001,1,2016-01-01,04:00:00,4,2016-01-01 04:00:00,20:10:11,24.3,rain,59.6,AV PIEDRA BUENA Y AV FERNANDEZ DE LA CRUZ,AVENIDA,PIEDRA BUENA AV.,,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.","PIEDRA BUENA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-58.47533969,-34.68757022,Motorcycle-Car,Motorcycle,Car,2016-0001,2016-01-01,2016,1,1,Driver,Motorcycle,Male,19,2016-01-01
2016-0002,1,2016-01-02,01:15:00,1,2016-01-02 01:15:00,20:10:26,26.3,,60.1,AV GRAL PAZ  Y AV DE LOS CORRALES,GRAL PAZ,"PAZ, GRAL. AV.",,DE LOS CORRALES AV.,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,-58.50877521,-34.66977709,Car-Passengers,Car,Passengers,2016-0002,2016-01-02,2016,1,2,Driver,Car,Male,70,2016-01-02
2016-0003,1,2016-01-03,07:00:00,7,2016-01-03 07:00:00,20:10:00,25.7,,70.4,AV ENTRE RIOS 2034,AVENIDA,ENTRE RIOS AV.,2034.0,,ENTRE RIOS AV. 2034,1,-58.39040293,-34.63189362,Motorcycle-Car,Motorcycle,Car,2016-0003,2016-01-03,2016,1,3,Driver,Motorcycle,Male,30,2016-01-03
2016-0004,1,2016-01-10,00:00:00,0,2016-01-10 00:00:00,20:10:28,23.1,rain,69.5,AV LARRAZABAL Y GRAL VILLEGAS CONRADO,AVENIDA,LARRAZABAL AV.,,"VILLEGAS, CONRADO, GRAL.","LARRAZABAL AV. y VILLEGAS, CONRADO, GRAL.",8,-58.46503904,-34.68092974,Motorcycle-No Data,Motorcycle,No Data,2016-0004,2016-01-10,2016,1,10,Driver,Motorcycle,Male,18,
2016-0005,1,2016-01-21,05:20:00,5,2016-01-21 05:20:00,20:06:58,26.3,rain,55.0,AV SAN JUAN Y PRESIDENTE LUIS SAENZ PE¥A ,AVENIDA,SAN JUAN AV.,,"SAENZ PE?A, LUIS, PRES.","SAN JUAN AV. y SAENZ PEÇ?A, LUIS, PRES.",1,-58.38718297,-34.62246630,Motorcycle-Passengers,Motorcycle,Passengers,2016-0005,2016-01-21,2016,1,21,Driver,Motorcycle,Male,29,2016-02-01
2016-0008,1,2016-01-24,18:30:00,18,2016-01-24 18:30:00,20:05:51,28.1,,57.0,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,27 DE FEBRERO AV.,,ESCALADA AV.,27 DE FEBRERO AV. y ESCALADA AV.,8,-58.44451316,-34.68475866,Motorcycle-OBJETO FIJO,Motorcycle,Fixed Object,2016-0008,2016-01-24,2016,1,24,Driver,Motorcycle,Male,30,2016-01-24
2016-0009,1,2016-01-24,19:10:00,19,2016-01-24 19:10:00,20:05:55,28.2,,55.5,NOGOYA Y JOAQUIN V. GONZALES,CALLE,NOGOYA,,"GONZALEZ, JOAQUIN V.","NOGOYA y GONZALEZ, JOAQUIN V.",11,-58.50095869,-34.60825440,Motorcycle-Car,Motorcycle,Car,2016-0009,2016-01-24,2016,1,24,Passenger_Companion,Motorcycle,Male,29,2016-01-26
2016-0010,1,2016-01-29,15:20:00,15,2016-01-29 15:20:00,20:03:02,24.3,rain,70.7,AV GENERAL PAZ Y AV DE LOS CORRALES,GRAL PAZ,"PAZ, GRAL. AV.",,DE LOS CORRALES AV.,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,-58.50877521,-34.66977709,Motorcycle-Car,Motorcycle,Car,2016-0010,2016-01-29,2016,1,29,Driver,Motorcycle,Male,18,2016-01-29
2016-0012,1,2016-02-08,01:20:00,1,2016-02-08 01:20:00,19:54:23,25.4,,82.6,AV BELGRANO Y BERNARDO DE IRIGOYEN,AVENIDA,BELGRANO AV.,,"IRIGOYEN, BERNARDO DE","BELGRANO AV. e IRIGOYEN, BERNARDO DE",1,-58.38048577,-34.61303893,Motorcycle-Cargo Vehicle,Motorcycle,Cargo Vehicle,2016-0012,2016-02-08,2016,2,8,Driver,Motorcycle,Male,22,2016-02-08
2016-0013,1,2016-02-10,11:30:00,11,2016-02-10 11:30:00,19:52:34,26.5,,29.0,AV ENTRE RIOS 1366,AVENIDA,ENTRE RIOS AV.,1366.0,,ENTRE RIOS AV. 1366,1,-58.39114932,-34.62477387,Pedestrian-Car,Pedestrian,Car,2016-0013,2016-02-10,2016,2,10,Pedestrian,Pedestrian,Male,16,2016-02-10
2016-0015,1,2016-02-14,05:14:00,5,2016-02-14 05:14:00,19:48:41,26.4,,12.5,AV SCALABRINI ORTIZ Y VERA,AVENIDA,"SCALABRINI ORTIZ, RAUL AV.",,VERA,"SCALABRINI ORTIZ, RAUL AV. y VERA",15,-58.43760020,-34.59912758,Pedestrian-Car,Pedestrian,Car,2016-0015,2016-02-14,2016,2,14,Pedestrian,Pedestrian,Female,16,2016-02-14
2016-0016,1,2016-02-14,22:00:00,22,2016-02-14 22:00:00,19:48:28,26.2,,12.7,AV REGIMIENTO DE PATRICIOS Y QUINQUELA MARTIN BENITO,AVENIDA,REGIMIENTO DE PATRICIOS AV.,,"QUINQUELA MARTIN, BENITO","REGIMIENTO DE PATRICIOS AV. y QUINQUELA MARTIN, BENITO",4,-58.36882665,-34.64291993,Motorcycle-Car,Motorcycle,Car,2016-0016,2016-02-14,2016,2,14,Passenger_Companion,Motorcycle,Female,19,2016-02-14
2016-0017,1,2016-02-15,16:54:00,16,2016-02-15 16:54:00,19:47:46,27.5,,32.0,MARIANO ACOSTA Y ANA MARIA JANER,AVENIDA,"ACOSTA, MARIANO",,"JANER, ANA MARIA","ACOSTA, MARIANO y JANER, ANA MARIA",8,-58.44989671,-34.65970435,Pedestrian-Motorcycle,Pedestrian,Motorcycle,2016-0017,2016-02-15,2016,2,15,Pedestrian,Pedestrian,Male,59,2016-02-16
2016-0019,1,2016-02-17,09:30:00,9,2016-02-17 09:30:00,19:45:50,26.1,rain,68.0,LISANDRO DE LA TORRE Y SEVERO GARCIA GRANDE DE ZEQUEIRA ,CALLE,"DE LA TORRE, LISANDRO",,"GARCIA GRANDE DE ZEQUEIRA, SEVERO","DE LA TORRE, LISANDRO y GARCIA GRANDE DE ZEQUEIRA, SEVERO",9,-58.50990884,-34.65468721,Pedestrian-Passengers,Pedestrian,Passengers,2016-0019,2016-02-17,2016,2,17,Pedestrian,Pedestrian,Female,65,2016-02-17
2016-0020,1,2016-02-17,16:00:00,16,2016-02-17 16:00:00,19:45:15,26.4,rain,68.4,SUIPACHA 156,CALLE,SUIPACHA,156.0,,SUIPACHA 156,1,-58.37952223,-34.60653282,Pedestrian-Car,Pedestrian,Car,2016-0020,2016-02-17,2016,2,17,Pedestrian,Pedestrian,Male,59,2016-03-02
2016-0021,1,2016-02-17,23:35:00,23,2016-02-17 23:35:00,19:45:34,26.3,rain,67.7,AV DIRECTORIO Y CURAPALIGUE,AVENIDA,DIRECTORIO AV.,,CURAPALIGUE,DIRECTORIO AV. y CURAPALIGUE,7,-58.45157703,-34.63063795,Car-Car,Car,Car,2016-0021,2016-02-17,2016,2,17,Driver,Car,Male,34,2016-02-17
2016-0022,1,2016-02-21,06:00:00,6,2016-02-21 06:00:00,19:40:43,25.9,,23.5,AV 9 DE JULIO Y ADOLFO ALSINA,AVENIDA,9 DE JULIO AV.,,"ALSINA, ADOLFO","9 DE JULIO AV. y ALSINA, ADOLFO",1,-58.38144696,-34.61079875,Motorcycle-Car,Motorcycle,Car,2016-0022,2016-02-21,2016,2,21,Passenger_Companion,Motorcycle,Male,41,
2016-0025,1,2016-02-28,04:50:00,4,2016-02-28 04:50:00,19:32:37,23.3,,21.4,AV GRAL PAZ Y AV 27 DE FEBRERO,GRAL PAZ,"PAZ, GRAL. AV.",,27 DE FEBRERO AV.,"PAZ, GRAL. AV. y 27 DE FEBRERO AV.",8,-58.46244952,-34.70524971,Car-Car,Car,Car,2016-0025,2016-02-28,2016,2,28,Passenger_Companion,Car,Male,34,2016-02-28
