Incident_ID,Date,Year,Month,Day,Role,Victim,Gender,Age,Date_of_Death
2016-0001,2016-01-01,2016,1,1,Driver,Motorcycle,Male,19,2016-01-01
2016-0002,2016-01-02,2016,1,2,Driver,Car,Male,70,2016-01-02
2016-0003,2016-01-03,2016,1,3,Driver,Motorcycle,Male,30,2016-01-03
2016-0004,2016-01-10,2016,1,10,Driver,Motorcycle,Male,18,
2016-0005,2016-01-21,2016,1,21,Driver,Motorcycle,Male,29,2016-02-01
2016-0008,2016-01-24,2016,1,24,Driver,Motorcycle,Male,30,2016-01-24
2016-0009,2016-01-24,2016,1,24,Passenger_Companion,Motorcycle,Male,29,2016-01-26
2016-0010,2016-01-29,2016,1,29,Driver,Motorcycle,Male,18,2016-01-29
2016-0012,2016-02-08,2016,2,8,Driver,Motorcycle,Male,22,2016-02-08
2016-0013,2016-02-10,2016,2,10,Pedestrian,Pedestrian,Male,16,2016-02-10
2016-0015,2016-02-14,2016,2,14,Pedestrian,Pedestrian,Female,16,2016-02-14
2016-0016,2016-02-14,2016,2,14,Passenger_Companion,Motorcycle,Female,19,2016-02-14
2016-0017,2016-02-15,2016,2,15,Pedestrian,Pedestrian,Male,59,2016-02-16
2016-0019,2016-02-17,2016,2,17,Pedestrian,Pedestrian,Female,65,2016-02-17
2016-0020,2016-02-17,2016,2,17,Pedestrian,Pedestrian,Male,59,2016-03-02
2016-0021,2016-02-17,2016,2,17,Driver,Car,Male,34,2016-02-17
2016-0022,2016-02-21,2016,2,21,Passenger_Companion,Motorcycle,Male,41,
2016-0025,2016-02-28,2016,2,28,Passenger_Companion,Car,Male,34,2016-02-28
2016-0026,2016-02-28,2016,2,28,Driver,Car,Male,30,2016-03-04
2016-0027,2016-02-28,2016,2,28,Passenger_Companion,Car,Male,34,
2016-0028,2016-03-02,2016,3,2,Pedestrian,Pedestrian,Male,50,2016-03-02
2016-0029,2016-03-04,2016,3,4,Pedestrian,Pedestrian,Male,38,2016-03-04
2016-0031,2016-03-08,2016,3,8,Driver,Motorcycle,Male,21,
2016-0034,2016-03-12,2016,3,12,Pedestrian,Pedestrian,Male,52,2016-03-12
2016-0035,2016-03-13,2016,3,13,Driver,Motorcycle,Male,34,2016-03-13
2016-0036,2016-03-14,2016,3,14,Passenger_Companion,Motorcycle,Male,36,2016-03-14
2016-0037,2016-03-19,2016,3,19,Driver,Motorcycle,Male,20,2016-03-19
2016-0038,2016-03-21,2016,3,21,Pedestrian,Pedestrian,Male,29,2016-03-21
2016-0039,2016-03-23,2016,3,23,Driver,Motorcycle,Male,20,2016-03-23
2016-0041,2016-03-29,2016,3,29,Driver,Motorcycle,Male,54,2016-03-29
2016-0041,2016-03-29,2016,3,29,Passenger_Companion,Motorcycle,Male,42,2016-03-30
2016-0043,2016-03-30,2016,3,30,Pedestrian,Pedestrian,Female,56,2016-03-30
2016-0044,2016-03-31,2016,3,31,Driver,Motorcycle,Male,24,2016-03-31
2016-0045,2016-04-11,2016,4,11,Driver,Motorcycle,Male,42,
2016-0047,2016-04-15,2016,4,15,Pedestrian,Pedestrian,Male,41,2016-04-15
2016-0048,2016-04-15,2016,4,15,Pedestrian,Pedestrian,Female,42,
2016-0049,2016-04-17,2016,4,17,No Data,No Data,No Data,42,
2016-0050,2016-04-19,2016,4,19,Pedestrian,Pedestrian,Male,78,2016-04-19
2016-0051,2016-04-20,2016,4,20,Driver,Motorcycle,Male,36,2016-04-20
2016-0052,2016-04-20,2016,4,20,No Data,Motorcycle,No Data,42,
2016-0053,2016-04-22,2016,4,22,Pedestrian,Pedestrian,Male,38,2016-04-22
2016-0054,2016-04-23,2016,4,23,Driver,Motorcycle,Male,30,2016-04-25
2016-0055,2016-04-25,2016,4,25,Pedestrian,Pedestrian,Male,79,2016-04-28
2016-0056,2016-04-26,2016,4,26,Driver,Motorcycle,Male,26,2016-04-26
2016-0058,2016-05-04,2016,5,4,Pedestrian,Pedestrian,Female,57,2016-05-08
2016-0059,2016-05-08,2016,5,8,Pedestrian,Pedestrian,Male,37,2016-05-26
2016-0064,2016-05-14,2016,5,14,Pedestrian,Pedestrian,Male,20,
2016-0065,2016-05-20,2016,5,20,Pedestrian,Pedestrian,Male,20,2016-05-20
2016-0067,2016-05-21,2016,5,21,Passenger_Companion,Motorcycle,Female,30,
2016-0068,2016-05-22,2016,5,22,Driver,Motorcycle,Male,58,
2016-0069,2016-05-23,2016,5,23,Driver,Car,Male,30,2016-05-23
2016-0073,2016-06-11,2016,6,11,Driver,Motorcycle,Male,23,
2016-0074,2016-06-12,2016,6,12,Driver,Car,Male,60,
2016-0075,2016-06-12,2016,6,12,Pedestrian,Pedestrian,Male,42,2016-06-12
2016-0076,2016-06-13,2016,6,13,Pedestrian,Pedestrian,Female,53,2016-06-13
2016-0077,2016-06-13,2016,6,13,Pedestrian,Pedestrian,Female,42,
2016-0078,2016-06-13,2016,6,13,Driver,Motorcycle,Male,30,
2016-0079,2016-06-16,2016,6,16,Driver,Car,Female,51,
2016-0080,2016-06-18,2016,6,18,Driver,Car,Male,60,
2016-0081,2016-06-22,2016,6,22,Driver,Motorcycle,Male,40,
2016-0082,2016-06-27,2016,6,27,Pedestrian,Pedestrian,Male,87,2016-07-05
2016-0083,2016-06-28,2016,6,28,Pedestrian,Pedestrian,Female,76,2016-06-29
2016-0084,2016-06-29,2016,6,29,Pedestrian,Pedestrian,Male,57,2016-07-08
2016-0085,2016-06-29,2016,6,29,No Data,Motorcycle,Male,42,
2016-0086,2016-06-30,2016,6,30,Pedestrian,Pedestrian,Male,75,2016-07-01
2016-0087,2016-07-03,2016,7,3,Driver,Motorcycle,Male,23,2016-07-03
2016-0088,2016-07-11,2016,7,11,Pedestrian,Pedestrian,Female,70,2016-07-14
2016-0089,2016-07-14,2016,7,14,Pedestrian,Pedestrian,Male,35,2016-07-14
2016-0090,2016-07-14,2016,7,14,Pedestrian,Pedestrian,Male,60,2016-07-15
2016-0092,2016-07-15,2016,7,15,Driver,Motorcycle,Male,24,2016-07-15
2016-0093,2016-07-17,2016,7,17,Driver,Car,Male,35,2016-07-19
2016-0095,2016-07-23,2016,7,23,Driver,Motorcycle,Male,29,2016-07-23
2016-0096,2016-07-25,2016,7,25,Driver,Motorcycle,Male,42,
2016-0097,2016-07-26,2016,7,26,Pedestrian,Pedestrian,Male,80,2016-08-12
2016-0098,2016-07-27,2016,7,27,Driver,Motorcycle,Female,43,
2016-0099,2016-07-29,2016,7,29,Driver,Cargo Vehicle,Male,45,
2016-0100,2016-08-03,2016,8,3,Driver,Motorcycle,Male,57,2016-08-03
2016-0101,2016-08-07,2016,8,7,No Data,No Data,Male,67,
2016-0102,2016-08-10,2016,8,10,Driver,Motorcycle,Male,29,
2016-0104,2016-08-14,2016,8,14,Driver,Motorcycle,Male,21,2016-08-15
